Date,open,close,high,low,volumn,price_change,day
2015-11-03,276.25,274,284.85,272.15,4770000,0.0214,2015-11-03
2015-11-04,281.6,277.45,283.5,275.1,1850000,0.0194,2015-11-04
2015-11-05,277,280.95,281.4,276,785960,-0.0163,2015-11-05
2015-11-06,271.05,279,279,270,521580,-0.0215,2015-11-06
2015-11-09,273.9,266.5,276,253.6,603100,0.0105,2015-11-09
2015-11-10,269.8,276.1,280.5,267.8,564760,-0.015,2015-11-10
2015-11-11,273.55,273.9,275.6,273,89580,0.0139,2015-11-11
2015-11-13,265.8,271.5,271.95,263.5,264880,-0.0283,2015-11-13
2015-11-16,268.05,266,274.7,260.05,534430,0.0085,2015-11-16
2015-11-17,265.55,270.1,274.4,264.55,354950,-0.0093,2015-11-17
2015-11-18,261.3,265.9,267.7,260.25,236270,-0.016,2015-11-18
2015-11-19,260.55,263,263.75,259.25,269160,-0.0029,2015-11-19
2015-11-20,259.15,261.6,266,258.5,252000,-0.0054,2015-11-20
2015-11-23,264.85,260,267.5,257.5,413190,0.022,2015-11-23
2015-11-24,266.4,265.8,270,262.05,298580,0.0059,2015-11-24
2015-11-26,266.3,268.4,269.4,264,172030,-0.0004,2015-11-26
2015-11-27,258.25,267,267.05,257.15,644850,-0.0302,2015-11-27
2015-11-30,255.35,259.8,261.75,254,447110,-0.0112,2015-11-30
2015-12-01,257.75,255.75,264.4,255.5,578650,0.0094,2015-12-01
2015-12-02,257.5,258.5,262,256.25,195140,-0.001,2015-12-02
2015-12-03,261.85,258.4,264.9,257.5,426130,0.0169,2015-12-03
2015-12-04,254.8,260.1,261.35,253.2,192550,-0.0269,2015-12-04
2015-12-07,253.25,256.7,258.85,252.5,112650,-0.0061,2015-12-07
2015-12-08,257.25,257,267.5,255,1240000,0.0158,2015-12-08
2015-12-09,252.95,257.45,261.4,252,260920,-0.0167,2015-12-09
2015-12-10,255.85,254.7,257.9,253,158430,0.0115,2015-12-10
2015-12-11,257.05,255.5,260,254.65,202080,0.0047,2015-12-11
2015-12-14,253.7,256.5,256.5,253.05,100570,-0.013,2015-12-14
2015-12-15,272.8,252.5,275,252.5,1540000,0.0753,2015-12-15
2015-12-16,270.25,275,278.4,269.85,377780,-0.0093,2015-12-16
2015-12-17,283.3,271.95,284.9,270.5,1220000,0.0483,2015-12-17
2015-12-18,285.65,281.9,290,281.15,998750,0.0083,2015-12-18
2015-12-21,285.2,284.5,288.4,281.55,243330,-0.0016,2015-12-21
2015-12-22,282.85,285.7,287.55,282,197450,-0.0082,2015-12-22
2015-12-23,276.3,283.1,285.2,275.1,199790,-0.0232,2015-12-23
2015-12-24,279.2,276.6,283.5,275,183810,0.0105,2015-12-24
2015-12-28,275.9,280,280.9,275,135550,-0.0118,2015-12-28
2015-12-29,284.95,276.2,286.75,276,385290,0.0328,2015-12-29
2015-12-30,284.7,284.1,297.35,280,869770,-0.0009,2015-12-30
2015-12-31,283.75,282,286.9,281.8,179010,-0.0033,2015-12-31
2016-01-01,288.05,284.4,291.2,283.3,215730,0.0152,2016-01-01
